shopName,starScore,tasteScore,envScore,serScore,goodCount,middleCount,badCount
麦当劳(星河湾海怡半岛分店),,3.80,3.80,3.80,28,4,3
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
麦当劳(凤凰汇分店),,3.80,3.90,3.90,28,5,2
麦当劳(增城万科城得来速分店),4.30,4.30,4.30,4.30,76,1,0
麦当劳(太阳新天地店),,4.50,4.40,4.40,411,53,16
麦当劳(仙村得来速店),4.20,4.40,4.40,4.20,96,3,3
麦当劳(新塘万达广场分店),,4.50,4.50,4.50,255,12,5
麦当劳(花城大道第二店),4.30,4.30,4.30,4.30,453,61,31
麦当劳(东急新天地店),4.30,4.30,4.20,4.20,261,41,22
麦当劳(富力盈力店),4.40,4.40,4.40,4.40,115,3,2
麦当劳(信基玥岛创展中心店),,4.00,4.00,4.00,13,1,0
麦当劳(富力盈通店),4.40,4.50,4.50,4.50,497,17,14
麦当劳(万科山景城得来速分店),,4.50,4.50,4.40,270,14,3
麦当劳(凯得金融中心店),,4.50,4.40,4.50,91,2,0
麦当劳(会展中心一期店),4.10,4.10,4.00,4.10,120,14,10
麦当劳(粤垦路店),4.10,4.10,4.10,4.00,284,39,22
麦当劳(虎门大桥北得来速分店),,3.60,3.60,3.60,77,11,10
麦当劳(农讲所星火分店),4.30,4.40,4.40,4.20,369,16,10
麦当劳(东明三路中石化得来速店),4.40,4.40,4.40,4.40,64,2,0
麦当劳(广百店),4.30,4.30,4.30,4.30,491,97,45
麦当劳(总统大酒店店),4.20,4.10,4.10,4.10,459,78,38
麦当劳(金穗路店),4.30,4.30,4.30,4.30,581,92,32
麦当劳(环宇广场店),4.40,4.40,4.40,4.40,141,3,2
麦当劳(市二宫创展分店),,4.60,4.50,4.50,412,5,1
麦当劳(增城新沙大道得来速分店),4.20,4.30,4.30,4.20,81,1,2
麦当劳(新港东路第五分店),4.40,4.40,4.40,4.40,394,40,24
麦当劳(富港大厦店),,4.60,4.60,4.60,315,9,4
麦当劳(三元里大道第三店),4.10,4.10,4.10,4.10,243,38,25
麦当劳(粤垦路店),4.10,4.10,4.10,4.00,284,39,22
麦当劳(番禺信联大厦店),4.30,4.30,4.30,4.30,192,15,8
麦当劳(东风西路店),4.10,4.20,4.20,4.20,262,25,11
麦当劳(总统大酒店店),4.20,4.10,4.10,4.10,459,78,38
麦当劳(增城大道得来速店),4.20,4.10,4.10,4.10,41,0,0
麦当劳(广州天河珠江花城店),4.30,4.30,4.30,4.20,93,0,1
麦当劳(天幕广场店),,4.50,4.50,4.50,233,20,7
麦当劳(会展中心二期店),4.10,4.00,4.10,4.00,194,37,29
麦当劳(广州祈福交通中心店),4.10,4.10,4.10,4.10,19,0,0
麦当劳(大石城商业中心店),4.20,4.20,4.20,4.20,213,41,17
麦当劳(金纺城店),4.30,4.30,4.30,4.40,427,20,7
麦当劳(环城路童伴荟得来速分店),4.20,4.20,4.20,4.20,54,0,0
麦当劳甜品站(前进路店),,3.80,3.70,3.60,30,6,2
麦当劳(英雄广场店),4.00,4.00,3.90,3.90,480,118,38
麦当劳(广州丰乐南路餐厅),,3.50,3.50,3.50,1,0,0
麦当劳甜品站(百信广场店),,3.60,3.60,3.50,62,14,12
麦当劳甜品站(雄州城店),,3.60,3.60,3.60,8,4,1
麦当劳(广州阁屏商务大厦店),,0.0,0.0,0.0,0,0,0
,, , , ,0,0,0
麦当劳(天津大厦店),, , , ,0,1,0
麦当劳(江南花园分店)-洗手间,, , , ,3,0,2
麦当劳（东川路店）-洗手间,, , , ,0,0,0
麦当劳广园西分店-停车场,, , , ,2,3,1
麦当劳(三元里大道餐厅),,0.0,0.0,0.0,0,0,0
M记煲仔饭,,3.40,3.40,3.40,9,0,1
麦当劳(人民中路分店)-洗手间,, , , ,1,0,0
麦当劳叔叔的民宿(珠江南河南地区店),,0.0,0.0,0.0,0,0,0
麦当劳(新市分店)-洗手间,, , , ,0,1,0
M记串串,,0.0,0.0,0.0,0,0,0
麦当劳停车场,, , , ,0,0,0
M记汕头肠粉,,3.60,3.60,3.60,1,0,0
麦当劳桥南路餐厅停车场,, , , ,2,2,0
麦当劳-停车场,, , , ,0,1,0
麦当劳（敦和分店）-洗手间,, , , ,0,0,0
麦当劳(青宫店)-洗手间,, , , ,0,2,0
麦当劳-停车场,, , , ,3,0,0
